0,0.000
0.005,0.000
0.01,0.000
0.015,0.000
0.02,0.000
0.025,0.001
0.03,0.003
0.035,0.009
0.04,0.018
0.045,0.028
0.05,0.034
0.055,0.035
0.06,0.032
0.065,0.028
0.07,0.024
0.075,0.023
0.08,0.022
0.085,0.020
0.09,0.017
0.095,0.015
0.1,0.016
0.105,0.021
0.11,0.026
0.115,0.027
0.12,0.024
0.125,0.019
0.13,0.016
0.135,0.015
0.14,0.017
0.145,0.018
0.15,0.018
0.155,0.017
0.16,0.016
0.165,0.014
0.17,0.012
0.175,0.012
0.18,0.013
0.185,0.016
0.19,0.021
0.195,0.025
0.2,0.027
0.205,0.025
0.21,0.018
0.215,0.010
0.22,0.006
0.225,0.007
0.23,0.014
0.235,0.022
0.24,0.026
0.245,0.023
0.25,0.013
0.255,0.003
0.26,-0.003
0.265,-0.003
0.27,0.002
0.275,0.008
0.28,0.013
0.285,0.015
0.29,0.017
0.295,0.018
0.3,0.017
0.305,0.014
0.31,0.007
0.315,-0.001
0.32,-0.008
0.325,-0.011
0.33,-0.009
0.335,-0.003
0.34,0.003
0.345,0.006
0.35,0.005
0.355,0.001
0.36,-0.004
0.365,-0.006
0.37,-0.006
0.375,-0.002
0.38,0.002
0.385,0.005
0.39,0.007
0.395,0.007
0.4,0.007
0.405,0.006
0.41,0.005
0.415,0.004
0.42,0.003
0.425,0.002
0.43,0.001
0.435,0.001
0.44,0.001
0.445,-0.001
0.45,-0.003
0.455,-0.003
0.46,-0.001
0.465,0.002
0.47,0.005
0.475,0.007
0.48,0.006
0.485,0.001
0.49,-0.004
0.495,-0.007
0.5,-0.008
0.505,-0.007
0.51,-0.006
0.515,-0.007
0.52,-0.008
0.525,-0.009
0.53,-0.009
0.535,-0.009
0.54,-0.008
0.545,-0.007
0.55,-0.007
0.555,-0.007
0.56,-0.008
0.565,-0.009
0.57,-0.010
0.575,-0.011
0.58,-0.012
0.585,-0.013
0.59,-0.012
0.595,-0.011
0.6,-0.009
0.605,-0.007
0.61,-0.006
0.615,-0.006
0.62,-0.006
0.625,-0.008
0.63,-0.011
0.635,-0.014
0.64,-0.015
0.645,-0.017
0.65,-0.018
0.655,-0.020
0.66,-0.023
0.665,-0.024
0.67,-0.022
0.675,-0.018
0.68,-0.012
0.685,-0.006
0.69,-0.003
0.695,-0.001
0.7,-0.002
0.705,-0.002
0.71,-0.002
0.715,-0.003
0.72,-0.006
0.725,-0.012
0.73,-0.017
0.735,-0.020
0.74,-0.019
0.745,-0.015
0.75,-0.010
